"Configuration","Configurazione"
"Login credentials","Dati di accesso"
"Username","Username"
"eMailChef username","Username eMailChef"
"eMailChef password","Password eMailChef"
"Test Login","Controlla i dati"
"List","Lista"
"Which policy would you like to use?","Scegli che tipo di policy vuoi adottare"
"Save Config","Salva configurazione"
"Custom fields for this list have been successfully created.","Sistemazione dei custom fields per la lista avvenuta con successo."
"An error occurred while defining custom fields for this newly created list:","Errore nella sistemazione dei custom fields per la lista scelta:"
"Or","Oppure"
"create a new list","crea una nuova lista"
"Create new list","Crea nuova lista"
"List name","Nome lista"
"List description","Descrizione lista"
"Create list","Crea lista"
"Making a new list, please wait...","Creazione della lista in corso..."
"Your list has been created. We're now adding the custom fields.","Lista creata con successo, ora verranno creati i custom fields."
"An error occurred while creating this list.","Errore nella creazione della lista indicata."
"provide a valid name for eMailChef list.","fornisci un nome valido per la lista eMailChef"
"Provide a valid name for eMailChef list.","Fornisci un nome valido per la lista eMailChef"
"An error occurred while creating this list:","Errore nella creazione della lista indicata:"
"We're defining custom fields for this newly created list...","Stiamo creando i custom fields per la lista appena creata..."
"Custom fields for this list have been successfully created.","Creazione dei custom fields per la lista avvenuta con successo."
"An error occurred while defining custom fields for this newly created list:","Errore nella creazione dei custom fields per la lista creata:"
"Test Login","Controlla i dati"
"eMailChef account credentials are wrong.","I dati di accesso sono errati."
"Customers data sync was successfully sent.","Esportazione iniziale dei dati dei clienti avvenuta con successo."
"Provided list is not valid.","Lista assegnata non valida."
"User logged successfully.","Utente loggato con successo."
"List has been created.","Lista creata con successo."
"Provide valid account credentials.","Inserisci username e password corretti prima."
"Please fill the username.","Compila il campo Username"
"Email is not in the right format.","Il campo username non ha un formato corretto."
"Name","Nome"
"Surname","Cognome"
"Email address","Email"
"Source","Sorgente"
"Gender","Sesso"
"Language","Lingua"
"Date of birth","Data di nascita"
"Company","Società"
"Address","Indirizzo"
"ZIP code","CAP"
"City","Città"
"State","Provincia"
"Country","Paese"
"Phone","Telefono fisso"
"Fax","Fax"
"Agreed to newsletter","Consenso newsletter"
"Currency","Valuta"
"Customer ID","ID Cliente"
"Customer type","Tipo cliente"
"Subtotal","Totale ordinato"
"Total ordered in the last 30 days","Totale ordinato negli ultimi 30 giorni"
"Total ordered in the last 12 months","Totale ordinato negli ultimi 12 mesi"
"Orders","Ordini totali"
"Ordered Product ID","ID prodotti ordinati"
"Last order - ID","Ultimo ordine - ID"
"Last order - Date","Ultimo ordine - Data"
"Last order - Total","Ultimo ordine - Totale"
"Last order - Status","Ultimo ordine - Stato lavorazione"
"Last order - Product ID","Ultimo ordine - ID prodotti"
"Last shipped order - ID","Ultimo ordine inviato - ID"
"Last shipped order - Data","Ultimo ordine inviato - Data"
"Last shipped order - Status","Ultimo ordine inviato - Stato lavorazione"
"Abandoned cart - Yes/No","Carrello abbandonato - Si/No"
"Abandoned cart - Most expensive product name","Carrello abbandonato - Nome prodotto più caro"
"Abandoned cart - Most expensive product description","Carrello abbandonato - Desc. prodotto più caro"
"Abandoned cart - Most expensive pricing product","Carrello abbandonato - Prezzo prodotto più caro"
"Abandoned cart - Most expensive product URL","Carrello abbandonato - URL prodotto più caro"
"Abandoned cart - Most expensive product image URL","Carrello abbandonato - URL immagine prodotto più caro"
"Abandoned cart - Most expensive product ID","Carrello abbandonato - ID prodotto più caro"
"Abandoned cart - Date","Carrello abbandonato - Data"
"We're modifying custom fields for the chosen list...","Stiamo sistemando i custom fields per la lista appena scelta..."
"Custom fields for this list have been successfully modified.","Sistemazione dei custom fields per la lista avvenuta con successo."
"An error occurred while modifying custom fields for the chosen list:", "Errore nella sistemazione dei custom fields per la lista scelta:"
"Verifying your login data...","Controllo dei dati di accesso in corso..."
"You have successfully logged into eMailChef.","Login con eMailChef effettuato con successo."
"Incorrect login credentials:","I dati di accesso inseriti sono errati:"